feature,missing_pct,dtype
COMMONAREA_MEDI,69.87229725115525,float64
COMMONAREA_AVG,69.87229725115525,float64
COMMONAREA_MODE,69.87229725115525,float64
NONLIVINGAPARTMENTS_MODE,69.43296337366793,float64
NONLIVINGAPARTMENTS_AVG,69.43296337366793,float64
NONLIVINGAPARTMENTS_MEDI,69.43296337366793,float64
FONDKAPREMONT_MODE,68.38617155158677,object
LIVINGAPARTMENTS_MODE,68.35495315614726,float64
LIVINGAPARTMENTS_AVG,68.35495315614726,float64
LIVINGAPARTMENTS_MEDI,68.35495315614726,float64
FLOORSMIN_AVG,67.84862980511267,float64
FLOORSMIN_MODE,67.84862980511267,float64
FLOORSMIN_MEDI,67.84862980511267,float64
YEARS_BUILD_MEDI,66.49778381911543,float64
YEARS_BUILD_MODE,66.49778381911543,float64
YEARS_BUILD_AVG,66.49778381911543,float64
OWN_CAR_AGE,65.9908100848425,float64
LANDAREA_MEDI,59.376737742714894,float64
LANDAREA_MODE,59.376737742714894,float64
LANDAREA_AVG,59.376737742714894,float64
BASEMENTAREA_MEDI,58.51595552679416,float64
BASEMENTAREA_AVG,58.51595552679416,float64
BASEMENTAREA_MODE,58.51595552679416,float64
EXT_SOURCE_1,56.381072546998325,float64
NONLIVINGAREA_MODE,55.17916432257708,float64
NONLIVINGAREA_AVG,55.17916432257708,float64
NONLIVINGAREA_MEDI,55.17916432257708,float64
ELEVATORS_MEDI,53.29597965601231,float64
ELEVATORS_AVG,53.29597965601231,float64
ELEVATORS_MODE,53.29597965601231,float64
WALLSMATERIAL_MODE,50.8407829313423,object
APARTMENTS_MEDI,50.74972927797705,float64
APARTMENTS_AVG,50.74972927797705,float64
APARTMENTS_MODE,50.74972927797705,float64
ENTRANCES_MEDI,50.3487680115508,float64
ENTRANCES_AVG,50.3487680115508,float64
ENTRANCES_MODE,50.3487680115508,float64
LIVINGAREA_AVG,50.193326417591564,float64
LIVINGAREA_MODE,50.193326417591564,float64
LIVINGAREA_MEDI,50.193326417591564,float64
HOUSETYPE_MODE,50.176091261776,object
FLOORSMAX_MODE,49.76082156410665,float64
FLOORSMAX_MEDI,49.76082156410665,float64
FLOORSMAX_AVG,49.76082156410665,float64
