feature,dtype,n_unique,missing_count,missing_pct,most_frequent_value,most_frequent_pct
COMMONAREA_MEDI,float64,3202,214865,69.87229725115525,0.0,69.87229725115525
COMMONAREA_AVG,float64,3181,214865,69.87229725115525,0.0,69.87229725115525
COMMONAREA_MODE,float64,3128,214865,69.87229725115525,0.0,69.87229725115525
NONLIVINGAPARTMENTS_MODE,float64,167,213514,69.43296337366793,0.0,69.43296337366793
NONLIVINGAPARTMENTS_AVG,float64,386,213514,69.43296337366793,0.0,69.43296337366793
NONLIVINGAPARTMENTS_MEDI,float64,214,213514,69.43296337366793,0.0,69.43296337366793
FONDKAPREMONT_MODE,object,4,210295,68.38617155158677,reg oper account,68.38617155158677
LIVINGAPARTMENTS_MODE,float64,736,210199,68.35495315614726,0.0551,68.35495315614726
LIVINGAPARTMENTS_AVG,float64,1868,210199,68.35495315614726,0.0504,68.35495315614726
LIVINGAPARTMENTS_MEDI,float64,1097,210199,68.35495315614726,0.0513,68.35495315614726
FLOORSMIN_AVG,float64,305,208642,67.84862980511267,0.2083,67.84862980511267
FLOORSMIN_MODE,float64,25,208642,67.84862980511267,0.2083,67.84862980511267
FLOORSMIN_MEDI,float64,47,208642,67.84862980511267,0.2083,67.84862980511267
YEARS_BUILD_MEDI,float64,151,204488,66.49778381911543,0.8256,66.49778381911543
YEARS_BUILD_MODE,float64,154,204488,66.49778381911543,0.8301,66.49778381911543
YEARS_BUILD_AVG,float64,149,204488,66.49778381911543,0.8232,66.49778381911543
OWN_CAR_AGE,float64,62,202929,65.9908100848425,7.0,65.9908100848425
LANDAREA_MEDI,float64,3560,182590,59.376737742714894,0.0,59.376737742714894
LANDAREA_MODE,float64,3563,182590,59.376737742714894,0.0,59.376737742714894
LANDAREA_AVG,float64,3527,182590,59.376737742714894,0.0,59.376737742714894
BASEMENTAREA_MEDI,float64,3772,179943,58.51595552679416,0.0,58.51595552679416
BASEMENTAREA_AVG,float64,3780,179943,58.51595552679416,0.0,58.51595552679416
BASEMENTAREA_MODE,float64,3841,179943,58.51595552679416,0.0,58.51595552679416
EXT_SOURCE_1,float64,114584,173378,56.381072546998325,0.3563226644129184,56.381072546998325
NONLIVINGAREA_MODE,float64,3327,169682,55.17916432257708,0.0,55.17916432257708
NONLIVINGAREA_AVG,float64,3290,169682,55.17916432257708,0.0,55.17916432257708
NONLIVINGAREA_MEDI,float64,3323,169682,55.17916432257708,0.0,55.17916432257708
ELEVATORS_MEDI,float64,46,163891,53.29597965601231,0.0,53.29597965601231
ELEVATORS_AVG,float64,257,163891,53.29597965601231,0.0,53.29597965601231
ELEVATORS_MODE,float64,26,163891,53.29597965601231,0.0,53.29597965601231
WALLSMATERIAL_MODE,object,7,156341,50.8407829313423,Panel,50.8407829313423
APARTMENTS_MEDI,float64,1148,156061,50.74972927797705,0.0833,50.74972927797705
APARTMENTS_AVG,float64,2339,156061,50.74972927797705,0.0825,50.74972927797705
APARTMENTS_MODE,float64,760,156061,50.74972927797705,0.084,50.74972927797705
ENTRANCES_MEDI,float64,46,154828,50.3487680115508,0.1379,50.3487680115508
ENTRANCES_AVG,float64,285,154828,50.3487680115508,0.1379,50.3487680115508
ENTRANCES_MODE,float64,30,154828,50.3487680115508,0.1379,50.3487680115508
LIVINGAREA_AVG,float64,5199,154350,50.193326417591564,0.0,50.193326417591564
LIVINGAREA_MODE,float64,5301,154350,50.193326417591564,0.0,50.193326417591564
LIVINGAREA_MEDI,float64,5281,154350,50.193326417591564,0.0,50.193326417591564
HOUSETYPE_MODE,object,3,154297,50.176091261776,block of flats,50.176091261776
FLOORSMAX_MODE,float64,25,153020,49.76082156410665,0.1667,49.76082156410665
FLOORSMAX_MEDI,float64,49,153020,49.76082156410665,0.1667,49.76082156410665
FLOORSMAX_AVG,float64,403,153020,49.76082156410665,0.1667,49.76082156410665
YEARS_BEGINEXPLUATATION_MODE,float64,221,150007,48.781019215572776,0.9871,48.781019215572776
YEARS_BEGINEXPLUATATION_MEDI,float64,245,150007,48.781019215572776,0.9871,48.781019215572776
YEARS_BEGINEXPLUATATION_AVG,float64,285,150007,48.781019215572776,0.9871,48.781019215572776
TOTALAREA_MODE,float64,5116,148431,48.26851722377411,0.0,48.26851722377411
EMERGENCYSTATE_MODE,object,2,145755,47.39830445089769,No,51.844649459694125
OCCUPATION_TYPE,object,18,96391,31.345545362604916,Laborers,31.345545362604916
EXT_SOURCE_3,float64,814,60965,19.825307062186393,0.746300213050371,19.825307062186393
AMT_REQ_CREDIT_BUREAU_HOUR,float64,5,41519,13.501630835970097,0.0,85.96960759127316
AMT_REQ_CREDIT_BUREAU_DAY,float64,9,41519,13.501630835970097,0.0,86.0141588430983
AMT_REQ_CREDIT_BUREAU_WEEK,float64,9,41519,13.501630835970097,0.0,83.72253350286657
AMT_REQ_CREDIT_BUREAU_MON,float64,24,41519,13.501630835970097,0.0,72.26830910113785
AMT_REQ_CREDIT_BUREAU_QRT,float64,11,41519,13.501630835970097,0.0,70.05180302493244
AMT_REQ_CREDIT_BUREAU_YEAR,float64,25,41519,13.501630835970097,0.0,23.349083447421393
NAME_TYPE_SUITE,object,7,1292,0.42014757195677555,Unaccompanied,80.81857234375356
OBS_30_CNT_SOCIAL_CIRCLE,float64,33,1021,0.3320206431639844,0.0,53.30215829677638
DEF_30_CNT_SOCIAL_CIRCLE,float64,10,1021,0.3320206431639844,0.0,88.2322908773995
OBS_60_CNT_SOCIAL_CIRCLE,float64,33,1021,0.3320206431639844,0.0,53.548003160862535
DEF_60_CNT_SOCIAL_CIRCLE,float64,9,1021,0.3320206431639844,0.0,91.28811652266097
EXT_SOURCE_2,float64,119831,660,0.21462646864665005,0.2858978721410488,0.2344631574155071
AMT_GOODS_PRICE,float64,1002,278,0.09040327012692229,450000.0,8.462136313822919
AMT_ANNUITY,float64,13672,12,0.003902299429939092,9000.0,2.0763484883467584
CNT_FAM_MEMBERS,float64,17,2,0.0006503832383231819,2.0,51.49636923557206
DAYS_LAST_PHONE_CHANGE,float64,3773,1,0.00032519161916159093,0.0,12.250618677055455
CNT_CHILDREN,int64,15,0,0.0,0,70.03684421045101
FLAG_DOCUMENT_8,int64,2,0,0.0,0,91.86240492210035
NAME_CONTRACT_TYPE,object,2,0,0.0,Cash loans,90.47871458256778
CODE_GENDER,object,3,0,0.0,F,65.83439291602576
FLAG_OWN_CAR,object,2,0,0.0,N,65.98918412674668
FLAG_DOCUMENT_2,int64,2,0,0.0,0,99.99577250895089
FLAG_DOCUMENT_3,int64,2,0,0.0,1,71.00233812774177
FLAG_DOCUMENT_4,int64,2,0,0.0,0,99.99187020952095
FLAG_DOCUMENT_5,int64,2,0,0.0,0,98.48850935413692
FLAG_DOCUMENT_6,int64,2,0,0.0,0,91.19446133634244
FLAG_DOCUMENT_7,int64,2,0,0.0,0,99.98081369446946
FLAG_DOCUMENT_9,int64,2,0,0.0,0,99.61042044024441
FLAG_DOCUMENT_21,int64,2,0,0.0,0,99.96650526322635
