,feature,n_categories,missing_pct,cramers_v,weighted_abs_rate_deviation_pp,reliable_target_rate_range_pp
0,OCCUPATION_TYPE,19,31.275405677864132,0.08011268986830625,2.0069391327769397,13.470610729965097
1,ORGANIZATION_TYPE,58,0.0,0.07181461273694796,1.741398667185479,10.845722881274387
2,NAME_INCOME_TYPE,8,0.0,0.06202037950610154,1.5166684363799263,4.179822329208733
3,NAME_EDUCATION_TYPE,5,0.0,0.056615705136302014,1.3087143237600625,5.679911752861577
4,CODE_GENDER,3,0.0,0.05451190495295014,1.4106454691181216,3.1344613396848535
5,WALLSMATERIAL_MODE,8,50.80119345712335,0.043643102050615216,1.1271127439372175,5.196954501333454
6,NAME_FAMILY_STATUS,6,0.0,0.04198246008049476,0.9296042471113208,4.144598739024397
7,EMERGENCYSTATE_MODE,3,47.38910929725863,0.04170374878883301,1.1378564829807025,2.4480238266770984
8,HOUSETYPE_MODE,4,50.13170303404767,0.039766209128898194,1.0845812647684687,2.7945452626387546
9,NAME_HOUSING_TYPE,6,0.0,0.03695484251026577,0.5228675451100362,5.856398447562764
10,NAME_CONTRACT_TYPE,2,0.0,0.0306733052023981,0.49180149774984444,2.8517102315636844
11,FONDKAPREMONT_MODE,5,68.37785763064616,0.028638925087270936,0.7188038393496741,2.4361170818755618
12,FLAG_OWN_CAR,2,0.0,0.02093344886926073,0.5427039837792783,1.2095682649950747
13,NAME_TYPE_SUITE,8,0.41827908035511036,0.011225093171193502,0.21600868821433455,4.167345310031434
14,FLAG_OWN_REALTY,2,0.0,0.005455445954094351,0.14604972468333113,0.34376554810342164
15,WEEKDAY_APPR_PROCESS_START,7,0.0,0.0053830022738895695,0.17824937535611474,0.5596462190337261
