,feature,missing_count,observed_count,missing_pct,target_rate_when_missing,target_rate_when_observed,target_rate_difference,absolute_target_rate_difference,reliable_for_comparison
0,OBS_30_CNT_SOCIAL_CIRCLE,811,245197,0.3296640759650093,0.03945745992601726,0.08086558970949889,-0.04140812978348163,0.04140812978348163,True
1,DEF_60_CNT_SOCIAL_CIRCLE,811,245197,0.3296640759650093,0.03945745992601726,0.08086558970949889,-0.04140812978348163,0.04140812978348163,True
2,OBS_60_CNT_SOCIAL_CIRCLE,811,245197,0.3296640759650093,0.03945745992601726,0.08086558970949889,-0.04140812978348163,0.04140812978348163,True
3,DEF_30_CNT_SOCIAL_CIRCLE,811,245197,0.3296640759650093,0.03945745992601726,0.08086558970949889,-0.04140812978348163,0.04140812978348163,True
4,AMT_REQ_CREDIT_BUREAU_QRT,33244,212764,13.513381678644599,0.10338707736734448,0.07718881013705325,0.026198267230291228,0.026198267230291228,True
5,AMT_REQ_CREDIT_BUREAU_MON,33244,212764,13.513381678644599,0.10338707736734448,0.07718881013705325,0.026198267230291228,0.026198267230291228,True
6,AMT_REQ_CREDIT_BUREAU_WEEK,33244,212764,13.513381678644599,0.10338707736734448,0.07718881013705325,0.026198267230291228,0.026198267230291228,True
7,AMT_REQ_CREDIT_BUREAU_DAY,33244,212764,13.513381678644599,0.10338707736734448,0.07718881013705325,0.026198267230291228,0.026198267230291228,True
8,AMT_REQ_CREDIT_BUREAU_HOUR,33244,212764,13.513381678644599,0.10338707736734448,0.07718881013705325,0.026198267230291228,0.026198267230291228,True
9,AMT_REQ_CREDIT_BUREAU_YEAR,33244,212764,13.513381678644599,0.10338707736734448,0.07718881013705325,0.026198267230291228,0.026198267230291228,True
10,NAME_TYPE_SUITE,1029,244979,0.41827908035511036,0.05539358600583091,0.0808355001857302,-0.025441914179899293,0.025441914179899293,True
11,OCCUPATION_TYPE,76940,169068,31.275405677864132,0.06492071744216273,0.087923202498403,-0.02300248505624028,0.02300248505624028,True
12,EMERGENCYSTATE_MODE,116581,129427,47.38910929725863,0.09251936421886929,0.07010901898367419,0.022410345235195098,0.022410345235195098,True
13,TOTALAREA_MODE,118707,127301,48.25330883548503,0.0922439283277313,0.0699915947243148,0.022252333603416496,0.022252333603416496,True
14,FLOORSMAX_AVG,122297,123711,49.71261097200091,0.09180928395627039,0.06977552521602767,0.022033758740242715,0.022033758740242715,True
15,FLOORSMAX_MODE,122297,123711,49.71261097200091,0.09180928395627039,0.06977552521602767,0.022033758740242715,0.022033758740242715,True
16,FLOORSMAX_MEDI,122297,123711,49.71261097200091,0.09180928395627039,0.06977552521602767,0.022033758740242715,0.022033758740242715,True
17,ENTRANCES_MODE,123775,122233,50.31340444213196,0.09163401333064028,0.06968658218320747,0.021947431147432805,0.021947431147432805,True
18,ENTRANCES_MEDI,123775,122233,50.31340444213196,0.09163401333064028,0.06968658218320747,0.021947431147432805,0.021947431147432805,True
19,ENTRANCES_AVG,123775,122233,50.31340444213196,0.09163401333064028,0.06968658218320747,0.021947431147432805,0.021947431147432805,True
