SK_ID_CURR,TARGET,hist_gradient_boosting,logistic_unweighted
100002,1,0.43480054527280126,0.5908375156569186
100003,0,0.031644397683228825,0.023401864216698598
100004,0,0.04609535583485481,0.03211180941599051
100006,0,0.03867930633267228,0.07149340956755884
100007,0,0.1184748703636288,0.09226786543160942
100008,0,0.07833106903034442,0.1059840225937714
100010,0,0.02141865402179525,0.030108871473715798
100011,0,0.04996791547636013,0.03609474378503505
100012,0,0.031101527574454745,0.049852404372250074
100016,0,0.103447978034557,0.0987793180383291
100017,0,0.03637773169749909,0.05013060672487677
100019,0,0.08495640258725969,0.1330205716069115
100021,0,0.05785562950199508,0.06655494880321784
100022,0,0.023376378221732653,0.02612018907979167
100025,0,0.08947301286587088,0.09281812164348127
100026,0,0.12573686379776375,0.10748665218402112
100027,0,0.01975026413506242,0.02418671363256218
100029,0,0.02293093600686029,0.04069375173698372
100030,0,0.039261228028056476,0.03465660965373792
100031,1,0.1751127558567445,0.15201131725477768
100032,0,0.07681103797588375,0.06717162649255984
100033,0,0.026074291867060687,0.017478884036014535
100034,0,0.06673806256704136,0.07299490404519268
100035,0,0.10886776920073193,0.1588978143700507
100036,0,0.08539498355171467,0.056363591971658335
100037,0,0.02057864703566739,0.022074699105950373
100039,0,0.09955133201302811,0.14091140334848587
100040,0,0.06921332442282074,0.04984764925812984
100041,0,0.021990095336398195,0.03813466465702625
100043,0,0.020722786081787386,0.014558156887556383
100044,0,0.026214524484570123,0.017558603657466604
100047,1,0.22286936199687526,0.312612600951011
100048,0,0.22841460567741323,0.20796651439967298
100049,1,0.0794127183052324,0.08154913939922814
100050,0,0.02029517824058371,0.020278112946014185
100052,0,0.13585206334821792,0.10343618715370471
100053,0,0.08599084528420717,0.09472842197056647
100055,0,0.0364188834897668,0.024933630659674032
100060,0,0.036157688304141046,0.023447676061639184
100061,0,0.05321093015492328,0.04569857652192231
100064,0,0.1495253062090826,0.16795565075145122
100068,0,0.09383656680496558,0.058768812848742656
100069,0,0.12450313468026136,0.08433257872376669
100070,0,0.07697415324717767,0.14543743864353773
100072,0,0.07768622809269272,0.1022896948289567
100073,0,0.0923674279768785,0.09041661294984611
100076,0,0.18310893349392532,0.16074434761154477
100077,0,0.06148530865276764,0.08607692392020003
100078,0,0.03298733771913808,0.01919187608198579
100079,0,0.16038047676023606,0.13695409412285106
100081,0,0.06146004667995942,0.05722117998870285
100082,0,0.056707128893426835,0.053347643771143184
100083,0,0.05297326106868463,0.07372308267278443
100085,0,0.1114187712696349,0.1429612643311119
100086,0,0.10834899286660397,0.07972176944001876
100088,0,0.029125766904270718,0.024824732481184924
100094,0,0.0602252482207744,0.04729659566913396
100095,0,0.049083453162407115,0.06724940103183563
100096,1,0.06650038908409701,0.07714646145570712
100097,0,0.05438098169045498,0.0787938601993613
100099,0,0.0369372042830967,0.06693004482103133
100100,0,0.046526393786630836,0.037133385406471146
100103,0,0.029069212727275827,0.04383947037625661
100104,0,0.03120672075141118,0.045280314278657134
100108,0,0.051365847583822864,0.05667391565517871
100110,0,0.15852412729656304,0.12772792547276135
100111,0,0.07608001538793972,0.06951356625046043
100113,0,0.0229915426722232,0.0218879546118397
100114,0,0.2689533623055542,0.2524304439575378
100115,0,0.10199039104629393,0.08603034532229739
100116,0,0.03848554721979086,0.027750994268878015
100119,0,0.17617662911573104,0.13054949820521525
100120,0,0.29031989708994144,0.3017027221026713
100121,0,0.0968098701599199,0.17988418024131447
100122,0,0.17446576130909044,0.08960479651897028
100123,0,0.031572290102048296,0.04185899960382644
100124,0,0.03147838944672594,0.031306004925038274
100125,0,0.022749234185463187,0.03302175004956183
100126,0,0.03866143055505822,0.04622403927664034
100127,0,0.02643860303357567,0.032379019751323304
100129,0,0.027855238332076367,0.011590143484824325
100130,1,0.23692940214204972,0.23928870702535435
100131,0,0.04845778674991188,0.05889428098112218
100132,0,0.018362359564221997,0.017460849314158422
100133,0,0.16397322360318634,0.16989212583541546
100134,0,0.023400743825725445,0.03748976546431205
100135,0,0.11939490388259906,0.13849601767473896
100136,0,0.04323011246733446,0.024674175576549634
100137,0,0.1130818173177066,0.09666629408957841
100138,0,0.03223193374173703,0.013377354613790634
100139,0,0.22208742006671986,0.10672873471700439
100140,0,0.023259909097732224,0.040235586378678675
100142,0,0.19951869467694366,0.15646419735861658
100143,0,0.015306922432473431,0.010424365778654061
100145,0,0.019287242783392975,0.01548873744856278
100146,0,0.05104832386729284,0.050035386948926515
100147,0,0.03359836017942897,0.028738335657582426
100148,0,0.08761443834479124,0.04118104520779908
100149,0,0.603125255128785,0.594140887440214
100151,0,0.050130181413659186,0.027602581885408258
100152,0,0.06960114085254379,0.09388411515739885
100153,0,0.09619553601585427,0.10637355034636146
100154,0,0.06153389279579034,0.05077258027570827
100156,0,0.030368698305293457,0.021865863498152126
100157,0,0.04388742139025005,0.038574227281492485
100158,0,0.04767987800131933,0.054280899243093636
100159,0,0.02403231184346234,0.017132630413697638
100160,1,0.14913922600266546,0.11877126402400821
100161,0,0.1426634827256862,0.16712326669147762
100164,0,0.043427792675252964,0.04860663386939233
100165,0,0.022072593552948848,0.007797599378580743
100166,0,0.10846645910240067,0.2168551341515204
100167,0,0.13904362194609812,0.1343467321761314
100174,0,0.0225602531856313,0.02368125234324412
100175,0,0.05906002165466051,0.06956282881381294
100177,0,0.10219624984558344,0.08213656107806996
100178,0,0.016876627620594494,0.03102667951817974
100179,0,0.034382409364287644,0.006978075653853671
100180,0,0.02552804402366891,0.009854729351154773
100181,1,0.1309336110359271,0.17817028780380592
100183,0,0.01384632661899847,0.018436445148676307
100186,0,0.0384391395220382,0.04253268945372047
100188,0,0.01481730658019095,0.013403523941203085
100189,0,0.35329060770009035,0.23170730704442447
